leaf_id,leaf_name,country,admin1,region_label,latitude,longitude,usage_score,confidence,example_dishes,notes,source_type
curry_leaves,Curry leaves,India,Kerala,South India,10.8505,76.2711,0.98,high,sambar; rasam; thoran; avial,Iconic everyday tempering leaf in Kerala cooking,llm_seeded_curated
curry_leaves,Curry leaves,India,Tamil Nadu,South India,11.1271,78.6569,0.97,high,sambar; rasam; kootu; chutney,Central to Tamil tempering and lentil dishes,llm_seeded_curated
curry_leaves,Curry leaves,India,Karnataka,South India,15.3173,75.7139,0.93,high,bisi bele bath; saaru; chutney,Very common in Karnataka home cooking,llm_seeded_curated
curry_leaves,Curry leaves,India,Andhra Pradesh,South India,15.9129,79.74,0.92,high,pappu; pulusu; chutney,Frequent in Andhra tempering and pickles,llm_seeded_curated
curry_leaves,Curry leaves,India,Telangana,South India,18.1124,79.0193,0.88,high,pappu; rasam; chutney,Common in Telugu cooking,llm_seeded_curated
curry_leaves,Curry leaves,Sri Lanka,Western Province,Sri Lanka,6.827,80.083,0.91,high,curry; sambol; dal,Common aromatic in Sri Lankan curries,llm_seeded_curated
curry_leaves,Curry leaves,Sri Lanka,Central Province,Sri Lanka,7.333,80.75,0.86,medium,curry; mallung; dal,Common in regional curry preparations,llm_seeded_curated
curry_leaves,Curry leaves,Malaysia,Selangor,Malay Indian diaspora,3.0738,101.5183,0.66,medium,fish curry; dalcha; sambal,Used in South Indian-influenced Malaysian cooking,llm_seeded_curated
mint,Mint,India,Delhi,North India,28.7041,77.1025,0.86,high,mint chutney; biryani; chaats,Common fresh herb in chutneys and snacks,llm_seeded_curated
mint,Mint,India,Punjab,North India,31.1471,75.3412,0.82,high,mint chutney; raita; kebabs,Common in chutneys and accompaniments,llm_seeded_curated
mint,Mint,India,Uttar Pradesh,North India,26.8467,80.9462,0.8,high,pudina chutney; biryani; chaats,Frequent in street food and home cooking,llm_seeded_curated
mint,Mint,India,Jammu and Kashmir,North India,33.2778,75.3412,0.75,medium,chutney; kahwa accompaniments; meat dishes,Used as cooling herb in regional dishes,llm_seeded_curated
mint,Mint,Pakistan,Punjab,Punjab,31.1704,72.7097,0.82,high,raita; chutney; biryani,Common fresh herb in Punjabi Pakistani cooking,llm_seeded_curated
mint,Mint,Pakistan,Sindh,Sindh,25.8943,68.5247,0.74,medium,biryani; chutney; raita,Common in biryani and condiments,llm_seeded_curated
mint,Mint,Morocco,Marrakesh-Safi,Maghreb,31.6295,-7.9811,0.88,high,mint tea; salads; tagines,Iconic in Moroccan mint tea and cooking,llm_seeded_curated
mint,Mint,Lebanon,Mount Lebanon,Levant,33.8101,35.5973,0.85,high,tabbouleh; fattoush; labneh,Common fresh herb in Levantine salads,llm_seeded_curated
mint,Mint,Turkey,Istanbul,Mediterranean and Anatolia,41.0082,28.9784,0.7,medium,yogurt sauces; dolma; tea,Used fresh and dried in Turkish food,llm_seeded_curated
mint,Mint,United Kingdom,England,Western Europe,52.3555,-1.1743,0.55,medium,mint sauce; peas; lamb,Recognizable but less broadly defining than in South Asia or MENA,llm_seeded_curated
parsley,Parsley,Lebanon,Mount Lebanon,Levant,33.8101,35.5973,0.96,high,tabbouleh; fattoush; grilled meats,Foundational fresh herb in Levantine salads,llm_seeded_curated
parsley,Parsley,Syria,Damascus Governorate,Levant,33.5138,36.2765,0.9,high,tabbouleh; kibbeh; salads,Common in Levantine herb-heavy dishes,llm_seeded_curated
